,Airline,Source,Destination,Total_Stops,Price,Date,Month
1937,IndiGo,Mumbai,Hyderabad,non-stop,2754,15,3
1938,IndiGo,Mumbai,Hyderabad,non-stop,2227,18,5
1939,Multiple carriers,Delhi,Cochin,2 stops,18275,27,6
1940,SpiceJet,Delhi,Cochin,1 stop,6356,21,4
1941,Jet Airways,Kolkata,Banglore,1 stop,14781,15,5
1942,Jet Airways,Delhi,Cochin,2 stops,13029,27,5
1943,GoAir,Banglore,Delhi,non-stop,4340,1,5
1944,Air India,Kolkata,Banglore,2 stops,12224,12,6
1945,Jet Airways,Kolkata,Banglore,1 stop,10844,24,5
1946,IndiGo,Kolkata,Banglore,non-stop,4174,15,4
1947,Air India,Banglore,New Delhi,2 stops,14887,1,3
1948,Multiple carriers,Delhi,Cochin,1 stop,12853,9,4
1949,Air Asia,Banglore,Delhi,non-stop,3383,15,5
1950,GoAir,Banglore,New Delhi,non-stop,11111,1,3
1951,Jet Airways,Banglore,Delhi,non-stop,7229,1,4
1952,Jet Airways,Banglore,Delhi,non-stop,4030,6,5
1953,IndiGo,Delhi,Cochin,1 stop,14871,3,3
1954,Jet Airways,Delhi,Cochin,1 stop,12898,27,5
1955,Multiple carriers,Delhi,Cochin,1 stop,14533,18,5
1956,Air India,Delhi,Cochin,1 stop,7258,6,6
1957,SpiceJet,Delhi,Cochin,1 stop,4812,1,4
1958,Jet Airways,Kolkata,Banglore,1 stop,12384,9,5
1959,Air India,Delhi,Cochin,2 stops,8603,6,6
1960,Air India,Delhi,Cochin,2 stops,8603,6,6
1961,Jet Airways,Kolkata,Banglore,1 stop,14231,24,3
1962,Air Asia,Delhi,Cochin,1 stop,11410,1,6
1963,Air India,Banglore,New Delhi,2 stops,12725,12,3
1964,Jet Airways,Delhi,Cochin,2 stops,13292,9,6
1965,SpiceJet,Kolkata,Banglore,non-stop,3873,24,4
1966,IndiGo,Chennai,Kolkata,non-stop,3850,15,6
1967,SpiceJet,Kolkata,Banglore,1 stop,8479,9,6
1968,Jet Airways,Kolkata,Banglore,1 stop,14151,24,5
1969,Air India,Banglore,Delhi,non-stop,5228,24,4
1970,Vistara,Kolkata,Banglore,1 stop,9397,9,6
1971,Jet Airways,Mumbai,Hyderabad,non-stop,4995,18,6
1972,Air Asia,Banglore,Delhi,non-stop,4282,3,4
1973,Air India,Kolkata,Banglore,2 stops,10697,21,5
1974,Jet Airways,Kolkata,Banglore,1 stop,9314,21,5
1975,IndiGo,Chennai,Kolkata,non-stop,3540,27,6
1976,Air India,Delhi,Cochin,2 stops,9443,12,6
1977,Multiple carriers,Delhi,Cochin,1 stop,15147,6,3
1978,Jet Airways,Banglore,Delhi,non-stop,8016,27,6
1979,IndiGo,Mumbai,Hyderabad,non-stop,2437,24,5
1980,IndiGo,Delhi,Cochin,1 stop,6104,27,5
1981,SpiceJet,Mumbai,Hyderabad,non-stop,1965,6,6
1982,Multiple carriers,Delhi,Cochin,1 stop,7408,12,6
1983,IndiGo,Mumbai,Hyderabad,non-stop,4049,18,6
1984,Jet Airways,Banglore,Delhi,non-stop,8016,1,6
1985,Multiple carriers,Delhi,Cochin,1 stop,10197,9,5
1986,Jet Airways,Kolkata,Banglore,1 stop,10844,1,5
1987,Jet Airways,Kolkata,Banglore,1 stop,12692,9,6
1988,Jet Airways,Kolkata,Banglore,1 stop,14781,6,5
1989,GoAir,Kolkata,Banglore,1 stop,7335,24,5
1990,Jet Airways,Banglore,Delhi,non-stop,7229,27,5
1991,Vistara,Banglore,New Delhi,non-stop,4353,24,3
1992,Jet Airways,Kolkata,Banglore,1 stop,13941,18,5
1993,Jet Airways,Banglore,New Delhi,1 stop,12295,12,3
1994,Jet Airways,Delhi,Cochin,1 stop,12898,27,5
1995,Vistara,Kolkata,Banglore,1 stop,7927,9,5
1996,Air Asia,Banglore,Delhi,non-stop,4483,15,4
1997,Jet Airways,Banglore,New Delhi,1 stop,19225,6,3
1998,GoAir,Delhi,Cochin,1 stop,4692,24,4
1999,Jet Airways,Banglore,New Delhi,1 stop,13555,18,3
2000,IndiGo,Delhi,Cochin,1 stop,6270,9,4
2001,Jet Airways,Kolkata,Banglore,1 stop,13584,6,5
2002,Jet Airways,Delhi,Cochin,2 stops,13180,21,3
2003,Jet Airways,Kolkata,Banglore,1 stop,14151,12,5
2004,Vistara,Delhi,Cochin,non-stop,6216,12,5
2005,Multiple carriers,Delhi,Cochin,1 stop,15135,3,3
2006,Multiple carriers,Delhi,Cochin,1 stop,15136,6,3
2007,Jet Airways,Delhi,Cochin,1 stop,10262,27,6
2008,Jet Airways,Kolkata,Banglore,1 stop,12384,18,5
2009,Jet Airways,Kolkata,Banglore,1 stop,9314,1,4
2010,Jet Airways,Kolkata,Banglore,1 stop,9314,6,5
2011,Air India,Delhi,Cochin,1 stop,10454,1,6
2012,Air India,Delhi,Cochin,1 stop,8372,18,5
2013,Jet Airways,Delhi,Cochin,1 stop,11848,9,3
2014,IndiGo,Delhi,Cochin,1 stop,6416,1,6
2015,IndiGo,Mumbai,Hyderabad,non-stop,3342,1,4
2016,Jet Airways,Kolkata,Banglore,2 stops,10118,6,6
2017,Air India,Kolkata,Banglore,2 stops,14960,12,6
2018,IndiGo,Delhi,Cochin,1 stop,6818,15,6
2019,Air India,Kolkata,Banglore,non-stop,5510,12,6
2020,Jet Airways,Kolkata,Banglore,1 stop,14388,21,5
2021,Multiple carriers,Delhi,Cochin,1 stop,7038,3,6
2022,Multiple carriers,Delhi,Cochin,1 stop,8266,9,5
2023,Jet Airways,Delhi,Cochin,2 stops,14300,27,6
2024,Air India,Kolkata,Banglore,1 stop,8366,9,5
2025,Jet Airways,Banglore,New Delhi,1 stop,17261,6,3
2026,Vistara,Kolkata,Banglore,1 stop,8452,6,6
2027,IndiGo,Kolkata,Banglore,1 stop,8567,1,4
2028,Multiple carriers,Delhi,Cochin,1 stop,9646,15,6
2029,Air India,Delhi,Cochin,2 stops,8341,9,4
2030,Jet Airways,Delhi,Cochin,1 stop,12373,9,5
2031,SpiceJet,Chennai,Kolkata,non-stop,3543,21,6
2032,Jet Airways,Kolkata,Banglore,1 stop,13994,9,6
2033,IndiGo,Banglore,New Delhi,non-stop,4777,24,3
2034,Multiple carriers,Delhi,Cochin,1 stop,7038,1,6
2035,IndiGo,Mumbai,Hyderabad,non-stop,3175,3,4
2036,Multiple carriers,Delhi,Cochin,1 stop,7408,9,6
2037,IndiGo,Banglore,Delhi,non-stop,3943,15,6
2038,Jet Airways,Delhi,Cochin,1 stop,15974,6,3
2039,SpiceJet,Kolkata,Banglore,non-stop,3873,27,5
2040,IndiGo,Banglore,Delhi,non-stop,4423,15,4
2041,Jet Airways,Delhi,Cochin,2 stops,15129,27,5
2042,IndiGo,Delhi,Cochin,1 stop,8285,21,3
2043,Air India,Mumbai,Hyderabad,non-stop,3100,6,6
2044,Air India,Banglore,New Delhi,2 stops,25430,1,3
2045,SpiceJet,Mumbai,Hyderabad,non-stop,2385,18,3
2046,Jet Airways,Kolkata,Banglore,1 stop,11316,6,6
2047,Jet Airways,Delhi,Cochin,1 stop,10262,15,6
2048,Air India,Kolkata,Banglore,2 stops,7662,24,5
2049,Jet Airways,Kolkata,Banglore,1 stop,14231,24,3
2050,IndiGo,Delhi,Cochin,1 stop,6838,9,6
2051,Jet Airways,Delhi,Cochin,2 stops,13376,15,6
2052,Jet Airways,Delhi,Cochin,1 stop,10262,24,6
2053,IndiGo,Delhi,Cochin,1 stop,8574,27,3
2054,Jet Airways,Banglore,New Delhi,1 stop,7832,9,3
2055,Multiple carriers,Delhi,Cochin,1 stop,12192,24,6
2056,Jet Airways,Mumbai,Hyderabad,non-stop,4050,15,6
2057,GoAir,Banglore,Delhi,non-stop,6722,12,4
2058,Jet Airways,Kolkata,Banglore,1 stop,10844,9,6
2059,Multiple carriers,Delhi,Cochin,1 stop,7408,15,6
2060,Jet Airways,Delhi,Cochin,1 stop,14189,21,3
2061,SpiceJet,Kolkata,Banglore,non-stop,3841,24,5
2062,Jet Airways,Kolkata,Banglore,1 stop,8586,9,5
2063,Multiple carriers,Delhi,Cochin,1 stop,7155,27,6
2064,Jet Airways,Kolkata,Banglore,1 stop,9899,12,6
2065,Jet Airways,Kolkata,Banglore,1 stop,14571,6,6
2066,IndiGo,Banglore,Delhi,non-stop,4823,18,5
2067,Jet Airways,Banglore,Delhi,non-stop,4544,9,5
2068,Air India,Banglore,New Delhi,1 stop,14752,1,3
2069,Air India,Kolkata,Banglore,2 stops,11542,9,5
2070,Jet Airways,Delhi,Cochin,non-stop,7202,21,5
2071,Multiple carriers,Delhi,Cochin,1 stop,11098,9,6
2072,Air India,Mumbai,Hyderabad,non-stop,2575,27,3
2073,Multiple carriers,Delhi,Cochin,1 stop,6673,27,3
2074,IndiGo,Banglore,New Delhi,non-stop,14306,1,3
2075,Jet Airways,Delhi,Cochin,1 stop,15554,18,5
2076,Jet Airways,Kolkata,Banglore,1 stop,9314,15,5
2077,Jet Airways,Mumbai,Hyderabad,non-stop,4995,9,3
2078,Jet Airways,Banglore,New Delhi,1 stop,7832,21,3
2079,Jet Airways,Kolkata,Banglore,1 stop,8586,21,5
2080,Air India,Delhi,Cochin,non-stop,6094,27,4
2081,Jet Airways,Delhi,Cochin,2 stops,13292,24,6
2082,Multiple carriers,Delhi,Cochin,1 stop,9718,27,5
2083,Jet Airways,Banglore,New Delhi,1 stop,7412,21,3
2084,Air India,Delhi,Cochin,2 stops,10441,6,6
2085,IndiGo,Delhi,Cochin,1 stop,14871,3,3
2086,Jet Airways,Delhi,Cochin,1 stop,15554,18,5
2087,Jet Airways,Banglore,New Delhi,1 stop,36235,1,3
2088,IndiGo,Mumbai,Hyderabad,non-stop,3175,24,3
2089,SpiceJet,Chennai,Kolkata,non-stop,3597,24,5
2090,SpiceJet,Mumbai,Hyderabad,non-stop,1965,27,6
2091,Multiple carriers,Delhi,Cochin,1 stop,12717,24,6
2092,IndiGo,Delhi,Cochin,non-stop,6015,3,6
2093,Air Asia,Banglore,New Delhi,non-stop,5615,9,3
2094,Multiple carriers,Delhi,Cochin,1 stop,7845,27,3
2095,Jet Airways,Kolkata,Banglore,1 stop,10844,9,6
2096,Jet Airways,Banglore,New Delhi,1 stop,27210,15,3
2097,IndiGo,Kolkata,Banglore,non-stop,4174,6,4
2098,Multiple carriers,Delhi,Cochin,1 stop,6883,21,3
2099,Multiple carriers,Delhi,Cochin,1 stop,6883,21,3
2100,Jet Airways,Kolkata,Banglore,1 stop,8355,21,5
2101,SpiceJet,Banglore,New Delhi,non-stop,5469,24,3
2102,Jet Airways,Banglore,Delhi,non-stop,6478,27,6
2103,Vistara,Banglore,New Delhi,non-stop,11913,3,3
2104,IndiGo,Delhi,Cochin,1 stop,7006,21,5
2105,Jet Airways,Kolkata,Banglore,1 stop,12681,1,4
2106,Jet Airways,Delhi,Cochin,2 stops,15129,21,5
2107,Multiple carriers,Delhi,Cochin,1 stop,13587,15,6
2108,Jet Airways,Delhi,Cochin,1 stop,14714,1,6
2109,IndiGo,Banglore,New Delhi,1 stop,6220,3,3
2110,Jet Airways,Delhi,Cochin,1 stop,10262,6,6
2111,Air India,Kolkata,Banglore,1 stop,8576,12,5
2112,Jet Airways,Kolkata,Banglore,1 stop,10031,24,3
2113,Jet Airways,Delhi,Cochin,2 stops,12819,24,6
2114,GoAir,Delhi,Cochin,1 stop,5052,15,4
2115,Jet Airways,Banglore,New Delhi,1 stop,22270,1,3
2116,Vistara,Banglore,Delhi,non-stop,5613,27,4
2117,SpiceJet,Kolkata,Banglore,non-stop,3873,1,4
2118,IndiGo,Delhi,Cochin,non-stop,6015,15,5
2119,Jet Airways,Kolkata,Banglore,1 stop,10844,9,6
2120,SpiceJet,Mumbai,Hyderabad,non-stop,2227,12,5
2121,Jet Airways,Banglore,Delhi,non-stop,7229,1,4
2122,Jet Airways,Delhi,Cochin,2 stops,10368,6,6
2123,Jet Airways,Delhi,Cochin,1 stop,12898,21,5
2124,Multiple carriers,Delhi,Cochin,1 stop,12192,12,6
2125,Jet Airways,Kolkata,Banglore,1 stop,12121,9,5
2126,Air India,Delhi,Cochin,2 stops,16163,27,5
2127,Jet Airways,Banglore,New Delhi,1 stop,12284,18,3
2128,IndiGo,Banglore,Delhi,non-stop,5780,21,6
2129,Jet Airways,Mumbai,Hyderabad,non-stop,4995,9,5
2130,IndiGo,Delhi,Cochin,1 stop,6496,9,6
2131,Air India,Delhi,Cochin,2 stops,12488,12,6
2132,IndiGo,Banglore,Delhi,non-stop,4823,15,5
2133,SpiceJet,Mumbai,Hyderabad,non-stop,2647,18,6
2134,IndiGo,Banglore,New Delhi,non-stop,12649,3,3
2135,Multiple carriers,Delhi,Cochin,1 stop,8266,12,6
2136,Vistara,Delhi,Cochin,non-stop,6216,15,5
2137,IndiGo,Banglore,Delhi,non-stop,4423,1,4
2138,Jet Airways,Banglore,New Delhi,1 stop,17996,6,3
2139,SpiceJet,Delhi,Cochin,1 stop,5726,15,4
2140,Multiple carriers,Delhi,Cochin,1 stop,15147,6,3
2141,Jet Airways,Delhi,Cochin,1 stop,15554,18,5
2142,Jet Airways,Delhi,Cochin,2 stops,12819,24,6
2143,Multiple carriers,Delhi,Cochin,1 stop,7198,27,6
2144,IndiGo,Delhi,Cochin,1 stop,5073,3,4
2145,IndiGo,Banglore,Delhi,non-stop,3943,27,6
2146,Jet Airways,Mumbai,Hyderabad,non-stop,3205,27,3
2147,SpiceJet,Banglore,Delhi,non-stop,3257,12,5
2148,IndiGo,Kolkata,Banglore,non-stop,4804,3,6
2149,IndiGo,Banglore,New Delhi,1 stop,10231,9,3
2150,Jet Airways,Delhi,Cochin,1 stop,12898,21,5
2151,IndiGo,Mumbai,Hyderabad,non-stop,2227,21,3
2152,Air India,Kolkata,Banglore,2 stops,9258,1,4
2153,Jet Airways,Kolkata,Banglore,1 stop,9663,24,5
2154,Jet Airways,Mumbai,Hyderabad,non-stop,8040,21,5
2155,GoAir,Banglore,Delhi,non-stop,3419,6,6
2156,Jet Airways,Banglore,Delhi,non-stop,8016,1,6
2157,Jet Airways,Banglore,Delhi,non-stop,7229,6,4
2158,GoAir,Delhi,Cochin,1 stop,4959,6,6
2159,Air India,Kolkata,Banglore,2 stops,10151,9,6
2160,Air India,Delhi,Cochin,3 stops,10703,18,5
2161,Jet Airways,Kolkata,Banglore,1 stop,10844,9,6
2162,IndiGo,Delhi,Cochin,1 stop,7205,6,3
2163,Jet Airways,Banglore,New Delhi,1 stop,12284,18,3
2164,Jet Airways,Kolkata,Banglore,1 stop,13994,9,6
2165,IndiGo,Delhi,Cochin,non-stop,6015,15,4
2166,IndiGo,Kolkata,Banglore,1 stop,4226,3,4
2167,Jet Airways,Delhi,Cochin,2 stops,9483,21,3
2168,Jet Airways,Banglore,Delhi,non-stop,5198,15,5
2169,Jet Airways,Delhi,Cochin,2 stops,10368,27,6
2170,Vistara,Chennai,Kolkata,non-stop,11982,3,6
2171,Air India,Banglore,New Delhi,1 stop,8032,15,3
2172,Air India,Kolkata,Banglore,non-stop,5510,15,5
2173,IndiGo,Delhi,Cochin,1 stop,8177,9,5
2174,Air Asia,Delhi,Cochin,1 stop,11410,1,6
2175,GoAir,Delhi,Cochin,1 stop,9385,21,3
2176,Jet Airways,Delhi,Cochin,1 stop,10262,6,6
2177,SpiceJet,Kolkata,Banglore,non-stop,3873,18,6
2178,Multiple carriers,Delhi,Cochin,1 stop,11999,21,3
2179,Jet Airways,Delhi,Cochin,2 stops,14300,27,6
2180,SpiceJet,Mumbai,Hyderabad,non-stop,2175,12,5
2181,Air India,Delhi,Cochin,2 stops,14431,9,5
2182,Jet Airways,Banglore,Delhi,non-stop,7229,21,5
2183,IndiGo,Kolkata,Banglore,1 stop,3809,24,5
2184,Multiple carriers,Delhi,Cochin,1 stop,7354,24,6
2185,Multiple carriers,Delhi,Cochin,1 stop,12537,27,3
2186,Air India,Delhi,Cochin,1 stop,9719,27,5
2187,Jet Airways,Mumbai,Hyderabad,non-stop,8040,24,5
2188,Jet Airways,Mumbai,Hyderabad,non-stop,4995,24,5
2189,IndiGo,Banglore,Delhi,non-stop,4591,6,4
2190,Air India,Kolkata,Banglore,1 stop,7662,6,6
2191,IndiGo,Chennai,Kolkata,non-stop,3850,24,6
2192,IndiGo,Delhi,Cochin,1 stop,6442,3,6
2193,IndiGo,Delhi,Cochin,1 stop,11378,3,6
2194,Multiple carriers,Delhi,Cochin,1 stop,13377,27,6
2195,Jet Airways,Kolkata,Banglore,1 stop,10844,21,5
2196,Jet Airways,Mumbai,Hyderabad,non-stop,4995,9,5
2197,Air India,Delhi,Cochin,2 stops,6057,27,3
2198,Air India,Banglore,Delhi,non-stop,5176,6,4
2199,Jet Airways,Delhi,Cochin,2 stops,13014,9,6
2200,IndiGo,Banglore,New Delhi,1 stop,7917,1,3
2201,SpiceJet,Delhi,Cochin,1 stop,5583,9,6
2202,Jet Airways,Banglore,Delhi,non-stop,7229,9,4
2203,IndiGo,Delhi,Cochin,1 stop,7191,18,5
2204,Jet Airways,Mumbai,Hyderabad,non-stop,3210,12,6
2205,IndiGo,Delhi,Cochin,1 stop,14871,6,3
2206,Multiple carriers,Delhi,Cochin,1 stop,8099,15,5
2207,Air India,Kolkata,Banglore,1 stop,8366,21,5
2208,IndiGo,Chennai,Kolkata,non-stop,6297,9,3
2209,Multiple carriers,Delhi,Cochin,1 stop,18286,3,3
2210,Jet Airways,Delhi,Cochin,1 stop,17024,6,3
2211,Jet Airways,Banglore,Delhi,non-stop,6144,24,4
2212,Multiple carriers,Delhi,Cochin,1 stop,13941,9,3
2213,Jet Airways,Banglore,Delhi,non-stop,3702,9,5
2214,SpiceJet,Delhi,Cochin,1 stop,5583,15,5
2215,Air India,Mumbai,Hyderabad,1 stop,10208,12,3
2216,Jet Airways,Kolkata,Banglore,1 stop,12384,6,5
2217,Air India,Kolkata,Banglore,2 stops,17049,6,5
2218,IndiGo,Delhi,Cochin,1 stop,7006,24,5
2219,Air India,Kolkata,Banglore,2 stops,12723,12,6
2220,Jet Airways,Delhi,Cochin,1 stop,10577,12,6
2221,Jet Airways,Banglore,New Delhi,1 stop,16736,6,3
2222,Jet Airways,Delhi,Cochin,1 stop,10262,24,6
2223,Multiple carriers,Delhi,Cochin,1 stop,7155,24,6
2224,Multiple carriers,Delhi,Cochin,1 stop,15147,3,3
2225,IndiGo,Banglore,Delhi,non-stop,4823,12,6
2226,Air India,Banglore,New Delhi,1 stop,8714,15,3
2227,Jet Airways,Kolkata,Banglore,1 stop,10953,6,5
2228,Air India,Kolkata,Banglore,1 stop,10203,12,6
2229,Jet Airways,Delhi,Cochin,1 stop,12373,18,5
2230,Jet Airways,Kolkata,Banglore,1 stop,14151,12,5
2231,Jet Airways,Kolkata,Banglore,1 stop,12121,24,5
2232,Vistara,Delhi,Cochin,non-stop,5586,9,4
2233,Jet Airways,Kolkata,Banglore,1 stop,10844,18,5
2234,Jet Airways,Kolkata,Banglore,1 stop,8586,21,5
2235,SpiceJet,Delhi,Cochin,1 stop,5409,6,6
2236,Multiple carriers,Delhi,Cochin,2 stops,7178,21,3
2237,Multiple carriers,Delhi,Cochin,1 stop,5797,24,6
2238,Jet Airways,Kolkata,Banglore,1 stop,13759,24,3
2239,Air India,Kolkata,Banglore,2 stops,13873,24,5
2240,Jet Airways,Delhi,Cochin,1 stop,16079,21,5
2241,SpiceJet,Mumbai,Hyderabad,non-stop,2017,27,6
2242,Jet Airways,Kolkata,Banglore,1 stop,10844,18,5
2243,SpiceJet,Banglore,Delhi,non-stop,3573,24,4
2244,Jet Airways,Kolkata,Banglore,1 stop,8066,6,5
2245,Jet Airways,Delhi,Cochin,1 stop,14053,9,3
2246,Jet Airways,Banglore,New Delhi,1 stop,12284,18,3
2247,SpiceJet,Delhi,Cochin,1 stop,5351,9,4
2248,Jet Airways,Kolkata,Banglore,1 stop,7064,1,4
2249,IndiGo,Delhi,Cochin,1 stop,10394,3,3
2250,Jet Airways,Kolkata,Banglore,1 stop,9663,15,5
2251,Multiple carriers,Delhi,Cochin,1 stop,13727,18,5
2252,Jet Airways,Delhi,Cochin,1 stop,10262,12,6
2253,IndiGo,Banglore,Delhi,non-stop,4823,9,4
2254,Air Asia,Banglore,New Delhi,non-stop,7074,3,3
2255,Multiple carriers,Delhi,Cochin,1 stop,17267,6,3
2256,Multiple carriers,Delhi,Cochin,1 stop,14067,21,5
2257,IndiGo,Banglore,Delhi,non-stop,4823,1,5
2258,IndiGo,Banglore,Delhi,non-stop,4823,27,4
2259,Air Asia,Banglore,Delhi,non-stop,4483,12,5
2260,Air India,Kolkata,Banglore,2 stops,14960,6,6
2261,Air India,Banglore,Delhi,non-stop,7171,1,6
2262,Air India,Kolkata,Banglore,1 stop,12173,24,3
2263,Air India,Banglore,New Delhi,1 stop,11392,3,3
2264,Air India,Kolkata,Banglore,2 stops,16057,15,5
2265,Jet Airways,Kolkata,Banglore,1 stop,14151,9,6
2266,Jet Airways,Banglore,Delhi,non-stop,4030,21,5
2267,IndiGo,Kolkata,Banglore,1 stop,4226,6,5
2268,Air India,Delhi,Cochin,1 stop,11050,9,3
2269,Air India,Banglore,Delhi,non-stop,6961,21,5
2270,Jet Airways,Kolkata,Banglore,1 stop,14231,24,3
2271,Jet Airways,Delhi,Cochin,2 stops,10919,27,6
2272,Air India,Delhi,Cochin,2 stops,10913,27,3
2273,IndiGo,Chennai,Kolkata,non-stop,5277,27,6
2274,Multiple carriers,Delhi,Cochin,1 stop,7485,21,5
2275,Jet Airways,Kolkata,Banglore,1 stop,14231,24,3
2276,GoAir,Delhi,Cochin,1 stop,4201,6,4
2277,Air India,Delhi,Cochin,non-stop,7931,6,3
2278,Multiple carriers,Delhi,Cochin,1 stop,6513,15,5
2279,Jet Airways,Delhi,Cochin,1 stop,14714,6,6
2280,IndiGo,Kolkata,Banglore,1 stop,6218,9,5
2281,Air India,Delhi,Cochin,2 stops,8603,27,6
2282,IndiGo,Delhi,Cochin,1 stop,7318,21,5
2283,Multiple carriers,Delhi,Cochin,1 stop,13504,15,6
2284,Multiple carriers,Delhi,Cochin,1 stop,9646,15,5
2285,IndiGo,Kolkata,Banglore,non-stop,5224,27,5
2286,Jet Airways,Kolkata,Banglore,1 stop,12692,12,6
2287,Jet Airways,Kolkata,Banglore,1 stop,9689,6,6
2288,Air India,Kolkata,Banglore,2 stops,13033,9,5
2289,Jet Airways,Kolkata,Banglore,1 stop,13626,12,6
2290,IndiGo,Mumbai,Hyderabad,non-stop,2754,18,5
2291,Jet Airways,Kolkata,Banglore,1 stop,12121,9,5
2292,IndiGo,Banglore,Delhi,non-stop,3419,24,4
2293,Air India,Kolkata,Banglore,2 stops,13033,21,5
2294,IndiGo,Kolkata,Banglore,non-stop,4174,6,4
2295,Air Asia,Delhi,Cochin,1 stop,6152,27,6
2296,Air India,Delhi,Cochin,non-stop,5201,27,6
2297,Jet Airways,Banglore,New Delhi,1 stop,9134,15,3
2298,Air India,Kolkata,Banglore,2 stops,13243,18,5
2299,Jet Airways,Delhi,Cochin,2 stops,15129,27,5
2300,Jet Airways,Mumbai,Hyderabad,non-stop,2759,9,5
2301,IndiGo,Banglore,Delhi,non-stop,4423,15,5
2302,Vistara,Kolkata,Banglore,1 stop,9187,18,5
2303,Multiple carriers,Delhi,Cochin,1 stop,7740,18,5
2304,Jet Airways,Banglore,Delhi,non-stop,6144,24,5
2305,Multiple carriers,Delhi,Cochin,1 stop,10877,9,6
2306,IndiGo,Delhi,Cochin,1 stop,6442,15,6
2307,IndiGo,Delhi,Cochin,1 stop,7048,27,3
2308,Multiple carriers,Delhi,Cochin,1 stop,5797,27,6
2309,Air India,Banglore,New Delhi,2 stops,10573,3,3
2310,IndiGo,Delhi,Cochin,1 stop,7503,15,5
2311,IndiGo,Delhi,Cochin,1 stop,6104,12,6
2312,Jet Airways,Kolkata,Banglore,1 stop,9663,9,5
2313,Jet Airways,Banglore,Delhi,non-stop,5769,3,6
2314,Air India,Mumbai,Hyderabad,non-stop,3100,15,6
2315,Jet Airways,Delhi,Cochin,1 stop,12373,18,5
2316,SpiceJet,Kolkata,Banglore,non-stop,3815,15,3
2317,Jet Airways,Delhi,Cochin,2 stops,14300,15,6
2318,IndiGo,Banglore,Delhi,non-stop,4823,1,6
2319,IndiGo,Mumbai,Hyderabad,non-stop,2754,18,6
2320,Multiple carriers,Delhi,Cochin,1 stop,9736,3,6
2321,Jet Airways,Banglore,New Delhi,1 stop,7280,21,3
2322,Multiple carriers,Delhi,Cochin,1 stop,7408,9,6
2323,Jet Airways,Kolkata,Banglore,1 stop,13044,12,6
2324,Air India,Kolkata,Banglore,2 stops,12723,24,5
2325,Jet Airways,Kolkata,Banglore,1 stop,8586,6,5
2326,IndiGo,Delhi,Cochin,1 stop,6316,12,6
2327,Jet Airways,Delhi,Cochin,1 stop,15554,9,5
2328,SpiceJet,Mumbai,Hyderabad,non-stop,2385,15,3
2329,Multiple carriers,Delhi,Cochin,1 stop,13587,9,6
2330,IndiGo,Delhi,Cochin,1 stop,13790,3,3
2331,Air India,Delhi,Cochin,2 stops,10975,15,5
2332,Jet Airways,Kolkata,Banglore,1 stop,14388,21,5
2333,Multiple carriers,Delhi,Cochin,1 stop,7198,6,6
2334,Jet Airways,Delhi,Cochin,2 stops,13029,9,5
2335,Multiple carriers,Delhi,Cochin,1 stop,12717,27,5
2336,IndiGo,Delhi,Cochin,1 stop,14871,3,3
2337,Jet Airways,Kolkata,Banglore,2 stops,10118,6,6
2338,Jet Airways,Delhi,Cochin,1 stop,10262,6,6
2339,Jet Airways,Mumbai,Hyderabad,non-stop,2071,24,3
2340,Air India,Banglore,Delhi,non-stop,5228,27,4
2341,Jet Airways,Banglore,New Delhi,1 stop,7832,21,3
2342,Multiple carriers,Delhi,Cochin,1 stop,7005,6,6
2343,Jet Airways,Delhi,Cochin,2 stops,14237,9,6
2344,SpiceJet,Banglore,Delhi,non-stop,3971,6,4
2345,IndiGo,Banglore,Delhi,non-stop,3943,21,6
2346,IndiGo,Delhi,Cochin,1 stop,8574,27,3
2347,Air India,Delhi,Cochin,2 stops,12646,15,6
2348,Jet Airways,Delhi,Cochin,2 stops,13082,21,3
2349,Jet Airways,Kolkata,Banglore,1 stop,13941,21,5
2350,GoAir,Delhi,Cochin,1 stop,5135,6,4
2351,Air India,Kolkata,Banglore,1 stop,11096,21,5
2352,Jet Airways,Banglore,New Delhi,1 stop,13555,18,3
2353,Vistara,Banglore,Delhi,non-stop,5403,12,4
2354,Jet Airways,Delhi,Cochin,2 stops,15812,24,6
2355,Jet Airways,Kolkata,Banglore,1 stop,14781,21,5
2356,Air India,Delhi,Cochin,1 stop,8907,6,6
2357,Air India,Kolkata,Banglore,non-stop,4145,3,5
2358,Jet Airways,Kolkata,Banglore,1 stop,14151,9,6
2359,Multiple carriers,Delhi,Cochin,1 stop,7845,27,3
2360,Multiple carriers,Delhi,Cochin,1 stop,8099,15,5
2361,Multiple carriers,Delhi,Cochin,1 stop,13377,27,5
2362,Air India,Banglore,New Delhi,2 stops,12734,12,3
2363,Jet Airways,Delhi,Cochin,1 stop,10262,3,6
2364,Jet Airways,Banglore,Delhi,non-stop,7229,15,5
2365,Vistara,Mumbai,Hyderabad,1 stop,12395,6,3
2366,Jet Airways,Kolkata,Banglore,1 stop,11134,24,3
2367,Jet Airways,Delhi,Cochin,1 stop,6540,21,3
2368,Multiple carriers,Delhi,Cochin,1 stop,7354,6,6
2369,Air India,Delhi,Cochin,2 stops,9548,24,6
2370,Vistara,Kolkata,Banglore,1 stop,9187,1,5
2371,IndiGo,Delhi,Cochin,1 stop,5054,9,5
2372,Air India,Kolkata,Banglore,1 stop,10413,9,6
2373,IndiGo,Kolkata,Banglore,non-stop,4804,27,5
